M0 직선 700m      → 중복 0.0% (0% 이어야 함)
M0 왕복 350m×2    → 중복 46.2% (약 50% 이어야 함)
M0 통과

label        outcome   detour  total(m)  overlap(m)  ratio   cells
0°/400m      detoured    5      700.0       23.6    3.4%     29
0°/600m      exact       0      700.0        0.0    0.0%     28
0°/850m      offered     0      700.0        0.0    0.0%     29
45°/400m     detoured   12      700.0      119.6   17.1%     22
45°/600m     exact       0      700.0        0.0    0.0%     28
45°/850m     offered     0      700.0        0.0    0.0%     28
90°/400m     detoured    6      700.0        0.0    0.0%     29
90°/600m     offered     0      700.0        0.0    0.0%     29
90°/850m     offered     0      700.0        0.0    0.0%     30
135°/400m    detoured    6      700.0        5.9    0.8%     31
135°/600m    exact       0      700.0       22.5    3.2%     30
135°/850m    offered     0      700.0       22.5    3.2%     30
180°/400m    detoured    1      700.0        0.0    0.0%     28
180°/600m    offered     0      700.0        0.0    0.0%     30
180°/850m    offered     0      700.0        0.0    0.0%     30
225°/400m    detoured    3      700.0        0.0    0.0%     30
225°/600m    offered     0      700.0       14.8    2.1%     31
225°/850m    offered     0      700.0        0.0    0.0%     30
270°/400m    detoured    2      700.0        0.0    0.0%     28
270°/600m    offered     0      700.0        0.0    0.0%     27
270°/850m    offered     0      700.0        0.0    0.0%     29
315°/400m    detoured    6      700.0       57.5    8.2%     21
315°/600m    exact       0      700.0        0.0    0.0%     29
315°/850m    offered     0      700.0        0.0    0.0%     28

outcome 별 평균·최대 중복 비율:
  detoured  n= 8  평균 3.7%  최대 17.1%
  exact     n= 4  평균 0.8%  최대 3.2%
  offered   n=12  평균 0.4%  최대 3.2%
